PyTorch APIs,TensorFlow APIs,说明
torch.nn.GELU,tf.nn.gelu,一致
torch.nn.GRU,tf.keras.layers.GRU,一致
torch.nn.GRUCell,tf.keras.layers.GRUCell,一致
torch.nn.GroupNorm,tf.keras.layers.GroupNormalization,功能一致，参数名不一致
torch.nn.Hardshrink,NONE,无对应实现
torch.nn.Hardsigmoid,tf.keras.layers.HardSigmoid,一致
torch.nn.Hardswish,tf.nn.hardswish,一致
torch.nn.Hardtanh,tf.keras.layers.ReLU,部分功能一致
torch.nn.Identity,tf.keras.layers.Lambda,功能一致，参数名不一致
torch.nn.InstanceNorm1d,tf.keras.layers.InstanceNormalization,功能一致，参数名不一致
torch.nn.InstanceNorm2d,tf.keras.layers.InstanceNormalization,功能一致，参数名不一致
torch.nn.InstanceNorm3d,tf.keras.layers.InstanceNormalization,功能一致，参数名不一致
torch.nn.L1Loss,tf.keras.losses.MeanAbsoluteError,功能一致，参数名不一致
torch.nn.LPPool1d,NONE,无对应实现
torch.nn.LPPool2d,NONE,无对应实现
torch.nn.LSTM,tf.keras.layers.LSTM,功能一致，参数名不一致
torch.nn.LSTMCell,tf.keras.layers.LSTMCell,一致
torch.nn.LayerNorm,tf.keras.layers.LayerNormalization,功能一致，参数名不一致
torch.nn.LeakyReLU,tf.nn.leaky_relu,功能一致，参数名不一致
torch.nn.Linear,tf.keras.layers.Dense,一致
torch.nn.LocalResponseNorm,tf.nn.local_response_normalization,一致
torch.nn.LogSigmoid,tf.nn.log_sigmoid,一致
torch.nn.LogSoftmax,tf.nn.log_softmax,一致
torch.nn.MSELoss,tf.keras.losses.MeanSquaredError,功能一致，参数名不一致
torch.nn.MarginRankingLoss,tf.keras.losses.Hinge,部分功能一致
torch.nn.MaxPool1d,tf.keras.layers.MaxPooling1D,一致
torch.nn.MaxPool2d,tf.keras.layers.MaxPooling2D,一致
torch.nn.MaxPool3d,tf.nn.max_pool3d,功能一致，参数名不一致
torch.nn.MaxUnpool1d,NONE,无对应实现
torch.nn.MaxUnpool2d,NONE,无对应实现
torch.nn.MaxUnpool3d,NONE,无对应实现
torch.nn.MultiLabelMarginLoss,NONE,无对应实现
torch.nn.MultiLabelSoftMarginLoss,NONE,无对应实现
torch.nn.MultiheadAttention,NONE,无对应实现
torch.nn.NLLLoss,tf.nn.softmax_cross_entropy_with_logits,功能一致，参数名不一致
torch.nn.PReLU,tf.keras.layers.PReLU,一致
torch.nn.PairwiseDistance,tf.linalg.norm,部分功能一致
torch.nn.PixelShuffle,tf.nn.depth_to_space,功能一致，参数名不一致
torch.nn.PoissonNLLLoss,NONE,无对应实现
torch.nn.RNN,tf.keras.layers.RNN,功能一致，参数名不一致
torch.nn.RNNBase,NONE,无对应实现
torch.nn.RNNCell,tf.keras.layers.SimpleRNNCell,功能一致，参数名不一致
torch.nn.RReLU,tf.keras.layers.RandomReLU,功能一致，参数名不一致
torch.nn.ReLU,tf.nn.relu,一致
torch.nn.ReLU6,tf.nn.relu6,一致
torch.nn.ReflectionPad1d,tf.pad,功能一致，参数名不一致
torch.nn.ReflectionPad2d,tf.pad,功能一致，参数名不一致
torch.nn.ReplicationPad1d,NONE,无对应实现
torch.nn.ReplicationPad2d,tf.pad,部分功能一致
torch.nn.ReplicationPad3d,NONE,无对应实现
torch.nn.SELU,tf.nn.selu,一致
torch.nn.SiLU,tf.nn.silu,一致
torch.nn.Sigmoid,tf.nn.sigmoid,功能一致，参数名不一致
torch.nn.Softmax,tf.nn.softmax,功能一致，参数名不一致
torch.nn.Softmax2d,NONE,无对应实现
torch.nn.Softmin,NONE,无对应实现
torch.nn.Softplus,tf.nn.softplus,一致
torch.nn.Softshrink,NONE,无对应实现
torch.nn.Softsign,tf.nn.softsign,一致
torch.nn.Tanh,tf.nn.tanh,功能一致，参数名不一致
torch.nn.Tanhshrink,NONE,无对应实现
torch.nn.Threshold,NONE,无对应实现
torch.nn.TransformerDecoderLayer,NONE,无对应实现
torch.nn.TransformerEncoderLayer,NONE,无对应实现
torch.nn.TripletMarginLoss,tf.losses.TripletSemiHardLoss,部分功能一致
torch.nn.Upsample,tf.image.resize,功能一致，参数名不一致
torch.nn.UpsamplingBilinear2d,tf.image.resize,功能一致，参数名不一致
torch.nn.UpsamplingNearest2d,NONE,无对应实现
torch.nn.ZeroPad2d,tf.pad,功能一致，参数名不一致
torch.nn.functional.adaptive_avg_pool1d,tf.nn.adaptive_avg_pooling1d,功能一致，参数名不一致
torch.nn.functional.adaptive_avg_pool2d,tf.nn.adaptive_avg_pooling2d,功能一致，参数名不一致
torch.nn.functional.adaptive_avg_pool3d,tf.nn.adaptive_avg_pooling3d,功能一致，参数名不一致
torch.nn.functional.adaptive_max_pool1d,NONE,无对应实现
torch.nn.functional.adaptive_max_pool2d,tf.nn.adaptive_max_pooling2d,无对应实现
torch.nn.functional.adaptive_max_pool3d,tf.nn.adaptive_max_pooling3d,功能一致，参数名不一致
torch.nn.functional.alpha_dropout,NONE,无对应实现
torch.nn.functional.avg_pool1d,tf.nn.avg_pool1d,一致
torch.nn.functional.avg_pool2d,tf.nn.avg_pool2d,一致
torch.nn.functional.avg_pool3d,tf.nn.avg_pool3d,一致
torch.nn.functional.batch_norm,tf.nn.batch_normalization,功能一致，参数名不一致
torch.nn.functional.bilinear,NONE,无对应实现
torch.nn.functional.binary_cross_entropy,tf.nn.sigmoid_cross_entropy_with_logits,功能一致，参数名不一致
torch.nn.functional.binary_cross_entropy_with_logits,tf.nn.sigmoid_cross_entropy_with_logits,功能一致，参数名不一致
torch.nn.functional.celu,tf.nn.celu,一致
torch.nn.functional.conv1d,tf.nn.conv1d,一致
torch.nn.functional.conv2d,tf.nn.conv2d,一致
torch.nn.functional.conv3d,tf.nn.conv3d,一致
torch.nn.functional.conv_transpose2d,tf.nn.conv2d_transpose,功能一致，参数名不一致
torch.nn.functional.conv_transpose3d,tf.nn.conv3d_transpose,功能一致，参数名不一致
torch.nn.functional.cosine_similarity,tf.losses.cosine_distance,功能一致，参数名不一致
torch.nn.functional.cross_entropy,tf.nn.sparse_softmax_cross_entropy_with_logits,功能一致，参数名不一致
torch.nn.functional.ctc_loss,tf.nn.ctc_loss,功能一致，参数名不一致
torch.nn.functional.dropout,tf.nn.dropout,一致
torch.nn.functional.dropout2d,tf.nn.dropout,功能一致，参数名不一致
torch.nn.functional.dropout3d,tf.nn.dropout,功能一致，参数名不一致
torch.nn.functional.elu,tf.nn.elu,一致
torch.nn.functional.elu_,tf.nn.elu,功能一致，参数名不一致
torch.nn.functional.embedding,tf.nn.embedding_lookup,功能一致，参数名不一致
torch.nn.functional.embedding_bag,tf.nn.embedding_lookup,部分功能一致
torch.nn.functional.fold,NONE,无对应实现
torch.nn.functional.gelu,tf.nn.gelu,一致
torch.nn.functional.hardshrink,NONE,无对应实现
torch.nn.functional.hardsigmoid,tf.keras.activations.hard_sigmoid,功能一致，参数名不一致
torch.nn.functional.hardswish,tf.nn.hardswish,一致
torch.nn.functional.hardtanh,tf.nn.hardtanh,功能一致，参数名不一致
torch.nn.functional.instance_norm,tf.nn.instance_norm,功能一致，参数名不一致
torch.nn.functional.interpolate,tf.image.resize,功能一致，参数名不一致
torch.nn.functional.l1_loss,tf.keras.losses.MAE,功能一致，参数名不一致
torch.nn.functional.layer_norm,tf.nn.layer_norm,功能一致，参数名不一致
torch.nn.functional.leaky_relu,tf.nn.leaky_relu,一致
torch.nn.functional.leaky_relu_,tf.nn.leaky_relu,功能一致，参数名不一致
torch.nn.functional.linear,tf.linalg.matmul,功能一致，参数名不一致
torch.nn.functional.local_response_norm,tf.nn.local_response_normalization,一致
torch.nn.functional.log_softmax,tf.nn.log_softmax,一致
torch.nn.functional.logsigmoid,tf.nn.log_sigmoid,一致
torch.nn.functional.lp_pool1d,NONE,无对应实现
torch.nn.functional.lp_pool2d,NONE,无对应实现
torch.nn.functional.margin_ranking_loss,NONE,无对应实现
torch.nn.functional.max_pool1d,tf.nn.max_pool1d,一致
torch.nn.functional.max_pool2d,tf.nn.max_pool2d,一致
torch.nn.functional.max_pool3d,tf.nn.max_pool3d,一致
torch.nn.functional.max_unpool1d,NONE,无对应实现
torch.nn.functional.max_unpool2d,NONE,无对应实现
torch.nn.functional.max_unpool3d,NONE,无对应实现
torch.nn.functional.mse_loss,tf.keras.losses.MeanSquaredError,功能一致，参数名不一致
torch.nn.functional.multilabel_margin_loss,NONE,无对应实现
torch.nn.functional.multilabel_soft_margin_loss,tf.nn.sigmoid_cross_entropy_with_logits,功能一致，参数名不一致
torch.nn.functional.nll_loss,tf.nn.sparse_softmax_cross_entropy_with_logits,功能一致，参数名不一致
torch.nn.functional.normalize,tf.nn.l2_normalize,功能一致，参数名不一致
torch.nn.functional.pad,tf.pad,功能一致，参数名不一致
torch.nn.functional.pairwise_distance,NONE,无对应实现
torch.nn.functional.pixel_shuffle,tf.nn.depth_to_space,功能一致，参数名不一致
torch.nn.functional.poisson_nll_loss,NONE,无对应实现
torch.nn.functional.prelu,tf.nn.prelu,功能一致，参数名不一致
torch.nn.functional.relu,tf.nn.relu,一致
torch.nn.functional.rrelu,tf.nn.rrelu,功能一致，参数名不一致
torch.nn.functional.rrelu_,NONE,无对应实现
torch.nn.functional.selu,tf.nn.selu,一致
torch.nn.functional.sigmoid,tf.nn.sigmoid,一致
torch.nn.functional.silu,tf.nn.silu,一致
torch.nn.functional.softmax,tf.nn.softmax,一致
torch.nn.functional.softmin,NONE,无对应实现
torch.nn.functional.softplus,tf.nn.softplus,一致
torch.nn.functional.softshrink,NONE,无对应实现
torch.nn.functional.softsign,tf.nn.softsign,一致
torch.nn.functional.tanh,tf.nn.tanh,一致
torch.nn.functional.tanhshrink,NONE,无对应实现
torch.nn.functional.threshold,tf.nn.relu,部分功能一致
torch.nn.functional.triplet_margin_loss,NONE,无对应实现
torch.nn.utils.clip_grad_norm_,tf.clip_by_global_norm,功能一致，参数名不一致
torch.nn.utils.rnn.pad_sequence,tf.keras.preprocessing.sequence.pad_sequences,功能一致，参数名不一致
torch.nonzero,tf.where,功能一致，参数名不一致
torch.norm,tf.norm,功能一致，参数名不一致
torch.normal,tf.random.normal,功能一致，参数名不一致
torch.numel,tf.size,功能一致，参数名不一致
torch.ones,tf.ones,一致
torch.ones_like,tf.ones_like,一致
torch.outer,tf.linalg.outer,功能一致，参数名不一致
torch.pinverse,tf.linalg.pinv,一致
torch.poisson,NONE,无对应实现
torch.polar,NONE,无对应实现
torch.polygamma,NONE,无对应实现
torch.pow,tf.pow,一致
torch.prod,tf.math.reduce_prod,功能一致，参数名不一致
torch.promote_types,NONE,无对应实现
torch.qr,tf.linalg.qr,一致
torch.quantile,NONE,无对应实现
torch.rad2deg,tf.experimental.numpy.rad2deg,一致
torch.rand,tf.random.uniform,功能一致，参数名不一致
torch.rand_like,tf.random.uniform_like,功能一致，参数名不一致
torch.randint,tf.random.uniform,功能一致，参数名不一致
torch.randn,tf.random.normal,功能一致，参数名不一致
torch.randn_like,tf.random.normal_like,功能一致，参数名不一致
torch.randperm,tf.random.shuffle,部分功能一致
torch.range,NONE,无对应实现
torch.ravel,tf.reshape,功能一致，参数名不一致
torch.real,tf.math.real,一致
torch.reciprocal,tf.math.reciprocal,一致
torch.remainder,tf.math.floormod,功能一致，参数名不一致
torch.renorm,NONE,无对应实现
torch.repeat_interleave,tf.repeat,功能一致，参数名不一致
torch.reshape,tf.reshape,一致
torch.result_type,NONE,无对应实现
torch.roll,tf.roll,一致
torch.rot90,tf.image.rot90,功能一致，参数名不一致
torch.round,tf.math.round,一致
torch.rsqrt,tf.math.rsqrt,一致
torch.save,tf.saved_model.save,功能一致，参数名不一致
torch.scatter,tf.tensor_scatter_nd_update,部分功能一致
torch.scatter_add,tf.tensor_scatter_nd_add,功能一致，参数名不一致
torch.searchsorted,tf.searchsorted,一致
torch.set_default_dtype,tf.keras.mixed_precision.set_global_policy,部分功能一致
torch.set_flush_denormal,NONE,无对应实现
torch.set_num_threads,NONE,无对应实现
torch.sgn,NONE,无对应实现
torch.sigmoid,tf.nn.sigmoid,一致
torch.sign,tf.sign,一致
torch.signbit,NONE,无对应实现
torch.sin,tf.sin,一致
torch.sinh,tf.sinh,一致
torch.slogdet,tf.linalg.slogdet,一致
torch.solve,NONE,无对应实现
torch.sort,tf.sort,一致
torch.sparse_coo_tensor,NONE,无对应实现
torch.split,tf.split,功能一致，参数名不一致
torch.sqrt,tf.sqrt,一致
torch.square,tf.square,一致
torch.squeeze,tf.squeeze,一致
torch.stack,tf.stack,一致
torch.std,tf.math.reduce_std,功能一致，参数名不一致
torch.std_mean,tf.math.reduce_std,功能一致，参数名不一致
torch.sub,tf.subtract,一致
torch.sum,tf.reduce_sum,功能一致，参数名不一致
torch.svd,tf.linalg.svd,一致
torch.swapaxes,tf.transpose,部分功能一致
torch.swapdims,tf.transpose,功能一致，参数名不一致
torch.symeig,NONE,无对应实现
torch.t,tf.transpose,功能一致，参数名不一致
torch.take,tf.gather,功能一致，参数名不一致
torch.tan,tf.math.tan,一致
torch.tanh,tf.nn.tanh,一致
torch.tensor_split,tf.split,功能一致，参数名不一致
torch.tensordot,tf.tensordot,一致
torch.topk,tf.math.top_k,功能一致，参数名不一致
torch.trace,tf.linalg.trace,一致
torch.transpose,tf.transpose,一致
torch.trapz,NONE,无对应实现
torch.triangular_solve,NONE,无对应实现
torch.tril,tf.linalg.band_part,功能一致，参数名不一致
torch.tril_indices,NONE,无对应实现
torch.triu,tf.linalg.triu,一致
torch.triu_indices,NONE,无对应实现
torch.true_divide,tf.math.divide,功能一致，参数名不一致
torch.trunc,tf.math.trunc,一致
torch.unbind,tf.unstack,功能一致，参数名不一致
torch.unique,tf.unique,功能一致，参数名不一致
torch.unique_consecutive,NONE,无对应实现
torch.unsqueeze,tf.expand_dims,功能一致，参数名不一致
torch.use_deterministic_algorithms,NONE,无对应实现
torch.vander,NONE,无对应实现
torch.var,tf.math.reduce_variance,功能一致，参数名不一致
torch.var_mean,tf.nn.moments,功能一致，参数名不一致
torch.vdot,NONE,无对应实现
torch.view_as_complex,NONE,无对应实现
torch.view_as_real,NONE,无对应实现
torch.vstack,tf.concat,功能一致，参数名不一致
torch.where,tf.where,一致
torch.xlogy,tf.math.xlogy,一致
torch.zeros,tf.zeros,一致
torch.zeros_like,tf.zeros_like,一致
