PyTorch APIs,PaddlePaddle APIs,说明
torch.allclose,paddle.allclose,功能一致，参数名不一致
torch.argsort,paddle.argsort,功能一致，参数名不一致
torch.eq,paddle.equal,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.equal,paddle.equal_all,功能一致，参数名不一致
torch.ge,paddle.greater_equal,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.gt,paddle.greater_than,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.isfinite,paddle.isfinite,功能一致，参数名不一致
torch.isinf,paddle.isinf,功能一致，参数名不一致
torch.isnan,paddle.isnan,功能一致，参数名不一致
torch.kthvalue,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.kthvalue.md)
torch.le,paddle.less_equal,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.lt,paddle.less_than,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.maximum,paddle.maximum,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.minimum,paddle.minimum,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.ne,paddle.not_equal,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.sort,paddle.argsort,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.topk,paddle.topk,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.cross,paddle.cross,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.any,paddle.any,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.cumsum,paddle.cumsum,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.diag,paddle.diag,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.diag.md)
torch.diag_embed,paddle.nn.functional.diag_embed,功能一致
torch.einsum,paddlenlp.ops.einsum,功能一致，需要安装[paddlenlp](https://github.com/PaddlePaddle/PaddleNLP#pip%E5%AE%89%E8%A3%85)
torch.flatten,paddle.flatten,功能一致，参数名不一致
torch.flip,paddle.flip,功能一致，参数名不一致
torch.rot90,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.rot90.md)
torch.meshgrid,paddle.meshgrid,功能一致
torch.roll,paddle.roll,功能一致，参数名不一致
torch.tril,paddle.tril,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.triu,paddle.triu,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.bmm,paddle.bmm,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.cholesky,paddle.cholesky,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.dot,paddle.dot,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.inverse,paddle.inverse,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.trace,paddle.trace,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.trace.md)
torch.addmv,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.addmv.md)
torch.addr,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.addr.md)
torch.baddbmm,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.baddbmm.md)
torch.addmm,paddle.addmm,功能一致，参数名不一致，PaddlePaddle未定义`out`参数代表输出Tensor
torch.chain_matmul,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.chain_matmul.md)
torch.cholesky_inverse,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.cholesky_inverse.md)
torch.cholesky_solve,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.cholesky_solve.md)
torch.matmul,paddle.matmul,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.matmul.md)
torch.mm,paddle.matmul,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.mm.md)
torch.mv,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.mv.md)
torch.scatter,paddle.scatter_nd_add,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/ops/torch.scatter.md)
torch.optim.lr_scheduler.LRScheduler,paddle.optimizer.lr.LRScheduler,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/optimizer/torch.optim.lr_scheduler.LRScheduler.md)
torch.nn.DataParallel,paddle.DataParallel,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/utils/torch.nn.DataParallel.md)
torch.nn.parameter.Parameter,paddle.create_parameter,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/utils/torch.nn.parameter.Parameter.md)
torch.nn.utils.clip_grad_value_,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/utils/torch.nn.utils.clip_grad_value_.md)
torch.utils.data.DataLoader,paddle.io.DataLoader,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/utils/torch.utils.data.DataLoader.md)
torch.utils.data.random_split,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/utils/torch.utils.data.random_split.md)
torch.utils.data.distributed.DistributedSampler,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/utils/torch.utils.data.distributed.DistributedSampler.md)
torch.utils.data.Dataset,paddle.io.Dataset,功能一致
torch.utils.data.BatchSampler,paddle.io.BatchSampler,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/utils/torch.utils.data.BatchSampler.md)
torch.utils.data.Sampler,paddle.io.Sampler,功能一致
torchvision.transforms.Compose,paddle.vision.transforms.Compose,功能一致
torchvision.transforms.ToPILImage,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/vision/torchvision.transforms.ToPILImage.md)
torchvision.transforms.Resize,paddle.vision.transforms.Resize,功能一致
