pytorch-api,tensorflow-api
torch.nn.functional.dropout3d,tf.nn.dropout
torch.nn.functional.elu,tf.nn.elu
torch.nn.functional.elu_,tf.nn.elu
torch.nn.functional.embedding,tf.nn.embedding_lookup
torch.nn.functional.embedding_bag,tf.nn.embedding_lookup_sparse
torch.nn.functional.fold,tf.signal.overlap_and_add
torch.nn.functional.gelu,tf.nn.gelu
torch.nn.functional.hardshrink,无对应实现
torch.nn.functional.hardsigmoid,tf.keras.activations.hard_sigmoid
torch.nn.functional.hardswish,tf.keras.activations.swish
torch.nn.functional.hardtanh,tf.clip_by_value
torch.nn.functional.instance_norm,tf.keras.layers.InstanceNormalization
torch.nn.functional.interpolate,tf.image.resize
torch.nn.functional.l1_loss,tf.keras.losses.mean_absolute_error
torch.nn.functional.layer_norm,tf.keras.layers.LayerNormalization
torch.nn.functional.leaky_relu,tf.nn.leaky_relu
torch.nn.functional.leaky_relu_,tf.nn.leaky_relu
torch.nn.functional.linear,tf.linalg.matmul
torch.nn.functional.local_response_norm,tf.nn.local_response_normalization
torch.nn.functional.log_softmax,tf.nn.log_softmax
torch.nn.functional.logsigmoid,tf.math.log_sigmoid
torch.nn.functional.lp_pool1d,无对应实现
torch.nn.functional.lp_pool2d,无对应实现
torch.nn.functional.margin_ranking_loss,tf.keras.losses.hinge
torch.nn.functional.max_pool1d,tf.nn.max_pool1d
torch.nn.functional.max_pool2d,tf.nn.max_pool2d
torch.nn.functional.max_pool3d,tf.nn.max_pool3d
torch.nn.functional.max_unpool1d,tf.nn.max_pool_with_argmax
torch.nn.functional.max_unpool2d,tf.nn.max_pool_with_argmax
torch.nn.functional.max_unpool3d,无对应实现
torch.nn.functional.mse_loss,tf.keras.losses.mean_squared_error
torch.nn.functional.multilabel_margin_loss,无对应实现
torch.nn.functional.multilabel_soft_margin_loss,tf.keras.losses.BinaryCrossentropy
torch.nn.functional.nll_loss,tf.keras.losses.categorical_crossentropy
torch.nn.functional.normalize,tf.linalg.normalize
torch.nn.functional.pad,tf.pad
torch.nn.functional.pairwise_distance,tf.norm
torch.nn.functional.pixel_shuffle,tf.nn.depth_to_space
torch.nn.functional.poisson_nll_loss,tf.keras.losses.poisson
torch.nn.functional.prelu,tf.nn.leaky_relu
torch.nn.functional.relu,tf.nn.relu
torch.nn.functional.rrelu,无对应实现
torch.nn.functional.rrelu_,无对应实现
torch.nn.functional.selu,tf.nn.selu
torch.nn.functional.sigmoid,tf.nn.sigmoid
torch.nn.functional.silu,tf.nn.silu
torch.nn.functional.softmax,tf.nn.softmax
torch.nn.functional.softmin,tf.nn.log_softmax
torch.nn.functional.softplus,tf.nn.softplus
torch.nn.functional.softshrink,无对应实现
torch.nn.functional.softsign,tf.nn.softsign
torch.nn.functional.tanh,tf.nn.tanh
torch.nn.functional.tanhshrink,无对应实现
torch.nn.functional.threshold,tf.where
torch.nn.functional.triplet_margin_loss,无对应实现
torch.nn.utils.clip_grad_norm_,tf.clip_by_global_norm
torch.nn.utils.rnn.pad_sequence,tf.keras.preprocessing.sequence.pad_sequences
torch.nonzero,tf.where
torch.norm,tf.linalg.norm
torch.normal,tf.random.normal
torch.numel,tf.size
torch.ones,tf.ones
torch.ones_like,tf.ones_like
torch.outer,tf.tensordot
torch.pinverse,tf.linalg.pinv
torch.poisson,tf.random.poisson
torch.polar,无对应实现
torch.polygamma,无对应实现
torch.pow,tf.pow
torch.prod,tf.reduce_prod
torch.promote_types,tf.experimental.numpy.result_type
torch.qr,tf.linalg.qr
torch.quantile,无对应实现
torch.rad2deg,tf.experimental.numpy.rad2deg
torch.rand,tf.random.uniform
torch.rand_like,tf.random.uniform
torch.randint,tf.random.uniform
torch.randn,tf.random.normal
torch.randn_like,tf.random.normal
torch.randperm,tf.random.shuffle
torch.range,tf.range
torch.ravel,tf.reshape
torch.real,tf.math.real
torch.reciprocal,tf.math.reciprocal
torch.remainder,tf.math.floormod
torch.renorm,无对应实现
torch.repeat_interleave,tf.repeat
torch.reshape,tf.reshape
torch.result_type,无对应实现
torch.roll,tf.roll
torch.rot90,tf.image.rot90
torch.round,tf.math.round
torch.rsqrt,tf.math.rsqrt
torch.save,tf.saved_model.save
torch.scatter,tf.tensor_scatter_nd_update
torch.scatter_add,tf.tensor_scatter_nd_add
torch.searchsorted,tf.searchsorted
torch.set_default_dtype,无对应实现
torch.set_flush_denormal,无对应实现
torch.set_num_threads,tf.config.threading.set_intra_op_parallelism_threads
torch.sgn,tf.sign
torch.sigmoid,tf.sigmoid
torch.sign,tf.sign
torch.signbit,tf.math.sign
torch.sin,tf.sin
torch.sinh,tf.sinh
torch.slogdet,tf.linalg.slogdet
torch.solve,tf.linalg.solve
torch.sort,tf.sort
torch.sparse_coo_tensor,tf.SparseTensor
torch.split,tf.split
torch.sqrt,tf.sqrt
torch.square,tf.square
torch.squeeze,tf.squeeze
torch.stack,tf.stack
torch.std,tf.math.reduce_std
torch.std_mean,无对应实现
torch.sub,tf.subtract
torch.sum,tf.reduce_sum
torch.svd,tf.linalg.svd
torch.swapaxes,tf.transpose
torch.swapdims,tf.transpose
torch.symeig,tf.linalg.eigh
torch.t,tf.transpose
torch.take,tf.gather
torch.tan,tf.tan
torch.tanh,tf.tanh
torch.tensor_split,tf.split
torch.tensordot,tf.tensordot
torch.topk,tf.math.top_k
torch.trace,tf.linalg.trace
torch.transpose,tf.transpose
torch.trapz,无对应实现
torch.triangular_solve,tf.linalg.triangular_solve
torch.tril,tf.linalg.band_part
torch.tril_indices,无对应实现
torch.triu,tf.linalg.band_part
torch.triu_indices,无对应实现
torch.true_divide,tf.math.divide
torch.trunc,无对应实现
torch.unbind,tf.unstack
torch.unique,tf.unique
torch.unique_consecutive,无对应实现
torch.unsqueeze,tf.expand_dims
torch.use_deterministic_algorithms,tf.config.experimental.enable_op_determinism
torch.vander,无对应实现
torch.var,tf.math.reduce_variance
torch.var_mean,无对应实现
torch.vdot,tf.tensordot
torch.view_as_complex,tf.complex
torch.view_as_real,tf.signal.fft
torch.vstack,tf.stack
torch.where,tf.where
torch.xlogy,tf.math.xlog1py
torch.zeros,tf.zeros
torch.zeros_like,tf.zeros_like
