pytorch-api,mindspore-api
torch.nn.AdaptiveAvgPool1d,mindspore.nn.AdaptiveAvgPool1d
torch.nn.AdaptiveAvgPool2d,mindspore.nn.AdaptiveAvgPool2d
torch.nn.AdaptiveAvgPool3d,mindspore.nn.AdaptiveAvgPool3d
torch.nn.AdaptiveMaxPool1d,mindspore.nn.AdaptiveMaxPool1d
torch.nn.AdaptiveMaxPool2d,mindspore.nn.AdaptiveMaxPool2d
torch.nn.AdaptiveMaxPool3d,mindspore.nn.AdaptiveMaxPool3d
torch.nn.AlphaDropout,无对应实现
torch.nn.AvgPool1d,mindspore.nn.AvgPool1d
torch.nn.AvgPool2d,mindspore.nn.AvgPool2d
torch.nn.AvgPool3d,mindspore.nn.AvgPool3d
torch.nn.BCELoss,mindspore.nn.BCELoss
torch.nn.BCEWithLogitsLoss,mindspore.nn.BCEWithLogitsLoss
torch.nn.BatchNorm1d,mindspore.nn.BatchNorm1d
torch.nn.BatchNorm2d,mindspore.nn.BatchNorm2d
torch.nn.BatchNorm3d,mindspore.nn.BatchNorm3d
torch.nn.Bilinear,无对应实现
torch.nn.CELU,mindspore.nn.CELU
torch.nn.CTCLoss,无对应实现
torch.nn.ConstantPad1d,mindspore.nn.Pad
torch.nn.ConstantPad2d,mindspore.nn.Pad
torch.nn.ConstantPad3d,mindspore.nn.Pad
torch.nn.Conv1d,mindspore.nn.Conv1d
torch.nn.Conv2d,mindspore.nn.Conv2d
torch.nn.Conv3d,mindspore.nn.Conv3d
torch.nn.ConvTranspose2d,mindspore.nn.Conv2dTranspose
torch.nn.ConvTranspose3d,mindspore.nn.Conv3dTranspose
torch.nn.CosineSimilarity,无对应实现
torch.nn.CrossEntropyLoss,mindspore.nn.CrossEntropyLoss
torch.nn.Dropout,mindspore.nn.Dropout
torch.nn.Dropout2d,mindspore.nn.Dropout2d
torch.nn.Dropout3d,无对应实现
torch.nn.ELU,mindspore.nn.ELU
torch.nn.Embedding,mindspore.nn.Embedding
torch.nn.Flatten,mindspore.nn.Flatten
torch.nn.Fold,无对应实现
torch.nn.FractionalMaxPool2d,无对应实现
torch.nn.GELU,mindspore.nn.GELU
torch.nn.GRU,mindspore.nn.GRU
torch.nn.GRUCell,mindspore.nn.GRUCell
torch.nn.GroupNorm,mindspore.nn.GroupNorm
torch.nn.Hardshrink,mindspore.ops.hardshrink
torch.nn.Hardsigmoid,无对应实现
torch.nn.Hardswish,mindspore.nn.Hardswish
torch.nn.Hardtanh,mindspore.nn.Hardtanh
torch.nn.Identity,mindspore.nn.Identity
torch.nn.InstanceNorm1d,mindspore.nn.InstanceNorm1d
torch.nn.InstanceNorm2d,mindspore.nn.InstanceNorm2d
torch.nn.InstanceNorm3d,mindspore.nn.InstanceNorm3d
torch.nn.L1Loss,mindspore.nn.L1Loss
torch.nn.LPPool1d,无对应实现
torch.nn.LPPool2d,无对应实现
torch.nn.LSTM,mindspore.nn.LSTM
torch.nn.LSTMCell,mindspore.nn.LSTMCell
torch.nn.LayerNorm,mindspore.nn.LayerNorm
torch.nn.LeakyReLU,mindspore.nn.LeakyReLU
torch.nn.Linear,mindspore.nn.Dense
torch.nn.LocalResponseNorm,无对应实现
torch.nn.LogSigmoid,mindspore.nn.LogSigmoid
torch.nn.LogSoftmax,mindspore.nn.LogSoftmax
torch.nn.MSELoss,mindspore.nn.MSELoss
torch.nn.MarginRankingLoss,无对应实现
torch.nn.MaxPool1d,mindspore.nn.MaxPool1d
torch.nn.MaxPool2d,mindspore.nn.MaxPool2d
torch.nn.MaxPool3d,mindspore.nn.MaxPool3d
torch.nn.MaxUnpool1d,无对应实现
torch.nn.MaxUnpool2d,无对应实现
torch.nn.MaxUnpool3d,无对应实现
torch.nn.MultiLabelMarginLoss,无对应实现
torch.nn.MultiLabelSoftMarginLoss,无对应实现
torch.nn.MultiheadAttention,mindspore.nn.MultiheadAttention
torch.nn.NLLLoss,mindspore.nn.NLLLoss
torch.nn.PReLU,mindspore.nn.PReLU
torch.nn.PairwiseDistance,无对应实现
torch.nn.PixelShuffle,mindspore.nn.PixelShuffle
torch.nn.PoissonNLLLoss,无对应实现
torch.nn.RNN,mindspore.nn.RNN
torch.nn.RNNBase,无对应实现
torch.nn.RNNCell,mindspore.nn.RNNCell
torch.nn.RReLU,无对应实现
torch.nn.ReLU,mindspore.nn.ReLU
torch.nn.ReLU6,mindspore.nn.ReLU6
torch.nn.ReflectionPad1d,mindspore.nn.Pad
torch.nn.ReflectionPad2d,mindspore.nn.ReflectionPad2d
torch.nn.ReplicationPad1d,mindspore.nn.Pad
torch.nn.ReplicationPad2d,mindspore.nn.Pad
torch.nn.ReplicationPad3d,mindspore.nn.Pad
torch.nn.SELU,mindspore.nn.SELU
torch.nn.SiLU,mindspore.nn.SiLU
torch.nn.Sigmoid,mindspore.nn.Sigmoid
torch.nn.Softmax,mindspore.nn.Softmax
torch.nn.Softmax2d,无对应实现
torch.nn.Softmin,无对应实现
torch.nn.Softplus,mindspore.nn.Softplus
torch.nn.Softshrink,无对应实现
torch.nn.Softsign,mindspore.nn.Softsign
torch.nn.Tanh,mindspore.nn.Tanh
torch.nn.Tanhshrink,无对应实现
torch.nn.Threshold,mindspore.nn.Threshold
torch.nn.TransformerDecoderLayer,mindspore.nn.TransformerDecoderLayer
torch.nn.TransformerEncoderLayer,mindspore.nn.TransformerEncoderLayer
torch.nn.TripletMarginLoss,无对应实现
torch.nn.Upsample,无对应实现
torch.nn.UpsamplingBilinear2d,mindspore.nn.ResizeBilinear
torch.nn.UpsamplingNearest2d,无对应实现
torch.nn.ZeroPad2d,mindspore.nn.Pad
torch.nn.functional.adaptive_avg_pool1d,mindspore.nn.AdaptiveAvgPool1d
torch.nn.functional.adaptive_avg_pool2d,mindspore.ops.AdaptiveAvgPool2D
torch.nn.functional.adaptive_avg_pool3d,mindspore.ops.AdaptiveAvgPool3D
torch.nn.functional.adaptive_max_pool1d,mindspore.nn.AdaptiveMaxPool1d
torch.nn.functional.adaptive_max_pool2d,mindspore.nn.AdaptiveMaxPool2d
torch.nn.functional.adaptive_max_pool3d,mindspore.nn.AdaptiveMaxPool3d
torch.nn.functional.alpha_dropout,无对应实现
torch.nn.functional.avg_pool1d,mindspore.ops.avg_pool1d
torch.nn.functional.avg_pool2d,mindspore.ops.avg_pool2d
torch.nn.functional.avg_pool3d,mindspore.ops.avg_pool3d
torch.nn.functional.batch_norm,mindspore.ops.batch_norm
torch.nn.functional.bilinear,无对应实现
torch.nn.functional.binary_cross_entropy,mindspore.nn.BCELoss
torch.nn.functional.binary_cross_entropy_with_logits,mindspore.nn.BCEWithLogitsLoss
torch.nn.functional.celu,mindspore.ops.celu
torch.nn.functional.conv1d,mindspore.ops.Conv1D
torch.nn.functional.conv2d,mindspore.ops.conv2d
torch.nn.functional.conv3d,mindspore.ops.conv3d
torch.nn.functional.conv_transpose2d,mindspore.ops.Conv2DTranspose
torch.nn.functional.conv_transpose3d,mindspore.ops.Conv3DTranspose
torch.nn.functional.cosine_similarity,mindspore.ops.cosine_similarity
torch.nn.functional.cross_entropy,mindspore.nn.CrossEntropyLoss
torch.nn.functional.ctc_loss,无对应实现
torch.nn.functional.dropout,mindspore.ops.Dropout
torch.nn.functional.dropout2d,mindspore.nn.Dropout2d
torch.nn.functional.dropout3d,无对应实现
torch.nn.functional.elu,mindspore.ops.ELU
torch.nn.functional.elu_,mindspore.ops.ELU
torch.nn.functional.embedding,mindspore.ops.gather
torch.nn.functional.embedding_bag,mindspore.ops.EmbeddingBag
torch.nn.functional.fold,无对应实现
torch.nn.functional.gelu,mindspore.ops.gelu
torch.nn.functional.hardshrink,mindspore.ops.hardshrink
torch.nn.functional.hardsigmoid,mindspore.ops.hardsigmoid
torch.nn.functional.hardswish,mindspore.ops.hardswish
torch.nn.functional.hardtanh,mindspore.ops.hardtanh
torch.nn.functional.instance_norm,mindspore.nn.InstanceNorm1d
torch.nn.functional.interpolate,mindspore.ops.interpolate
torch.nn.functional.l1_loss,mindspore.nn.L1Loss
torch.nn.functional.layer_norm,mindspore.ops.layer_norm
torch.nn.functional.leaky_relu,mindspore.ops.leaky_relu
torch.nn.functional.leaky_relu_,mindspore.ops.leaky_relu
torch.nn.functional.linear,mindspore.ops.dense
torch.nn.functional.local_response_norm,无对应实现
torch.nn.functional.log_softmax,mindspore.ops.log_softmax
torch.nn.functional.logsigmoid,mindspore.ops.log_sigmoid
torch.nn.functional.lp_pool1d,无对应实现
torch.nn.functional.lp_pool2d,无对应实现
torch.nn.functional.margin_ranking_loss,无对应实现
torch.nn.functional.max_pool1d,mindspore.ops.MaxPool1D
torch.nn.functional.max_pool2d,mindspore.ops.MaxPool
torch.nn.functional.max_pool3d,mindspore.ops.MaxPool3D
torch.nn.functional.max_unpool1d,无对应实现
torch.nn.functional.max_unpool2d,无对应实现
torch.nn.functional.max_unpool3d,无对应实现
torch.nn.functional.mse_loss,mindspore.nn.MSELoss
torch.nn.functional.multilabel_margin_loss,无对应实现
torch.nn.functional.multilabel_soft_margin_loss,无对应实现
torch.nn.functional.nll_loss,mindspore.nn.NLLLoss
torch.nn.functional.normalize,mindspore.ops.L2Normalize
torch.nn.functional.pad,mindspore.ops.Pad
torch.nn.functional.pairwise_distance,mindspore.ops.PairwiseDistance
torch.nn.functional.pixel_shuffle,mindspore.ops.DepthToSpace
torch.nn.functional.poisson_nll_loss,无对应实现
torch.nn.functional.prelu,mindspore.ops.PReLU
torch.nn.functional.relu,mindspore.ops.relu
torch.nn.functional.rrelu,无对应实现
torch.nn.functional.rrelu_,无对应实现
torch.nn.functional.selu,mindspore.ops.selu
torch.nn.functional.sigmoid,mindspore.ops.sigmoid
torch.nn.functional.silu,mindspore.ops.silu
torch.nn.functional.softmax,mindspore.ops.Softmax
torch.nn.functional.softmin,mindspore.ops.softmin
torch.nn.functional.softplus,mindspore.ops.softplus
torch.nn.functional.softshrink,无对应实现
torch.nn.functional.softsign,mindspore.ops.softsign
torch.nn.functional.tanh,mindspore.ops.tanh
torch.nn.functional.tanhshrink,无对应实现
torch.nn.functional.threshold,mindspore.ops.threshold
torch.nn.functional.triplet_margin_loss,mindspore.nn.TripletMarginLoss
torch.nn.utils.clip_grad_norm_,mindspore.ops.clip_by_norm
torch.nn.utils.rnn.pad_sequence,无对应实现
torch.nonzero,mindspore.ops.nonzero
torch.norm,mindspore.ops.LpNorm
torch.normal,mindspore.ops.normal
torch.numel,mindspore.ops.size
torch.ones,mindspore.ops.ones
torch.ones_like,mindspore.ops.ones_like
torch.outer,mindspore.ops.outer
torch.pinverse,mindspore.ops.pinv
torch.poisson,无对应实现
torch.polar,mindspore.ops.polar
torch.polygamma,无对应实现
torch.pow,mindspore.ops.pow
torch.prod,mindspore.ops.prod
torch.promote_types,无对应实现
torch.qr,mindspore.ops.qr
torch.quantile,无对应实现
torch.rad2deg,mindspore.numpy.rad2deg
torch.rand,mindspore.ops.uniform
torch.rand_like,mindspore.ops.uniform
torch.randint,mindspore.ops.uniform
torch.randn,mindspore.ops.standard_normal
torch.randn_like,mindspore.ops.normal
torch.randperm,mindspore.ops.randperm
torch.range,mindspore.ops.Range
torch.ravel,mindspore.ops.ravel
torch.real,mindspore.ops.real
torch.reciprocal,mindspore.ops.reciprocal
torch.remainder,mindspore.ops.remainder
torch.renorm,无对应实现
torch.repeat_interleave,mindspore.ops.repeat_interleave
torch.reshape,mindspore.ops.reshape
torch.result_type,无对应实现
torch.roll,mindspore.ops.roll
torch.rot90,mindspore.numpy.rot90
torch.round,mindspore.ops.round
torch.rsqrt,mindspore.ops.rsqrt
torch.save,无对应实现
torch.scatter,mindspore.ops.tensor_scatter_elements
torch.scatter_add,mindspore.ops.tensor_scatter_add
torch.searchsorted,mindspore.ops.searchsorted
torch.set_default_dtype,无对应实现
torch.set_flush_denormal,无对应实现
torch.set_num_threads,无对应实现
torch.sgn,无对应实现
torch.sigmoid,mindspore.ops.sigmoid
torch.sign,mindspore.ops.sign
torch.signbit,无对应实现
torch.sin,mindspore.ops.sin
torch.sinh,mindspore.ops.sinh
torch.slogdet,mindspore.ops.slogdet
torch.solve,mindspore.ops.matrix_solve
torch.sort,mindspore.ops.Sort
torch.sparse_coo_tensor,无对应实现
torch.split,mindspore.ops.split
torch.sqrt,mindspore.ops.sqrt
torch.square,mindspore.ops.square
torch.squeeze,mindspore.ops.squeeze
torch.stack,mindspore.ops.stack
torch.std,mindspore.ops.std
torch.std_mean,无对应实现
torch.sub,mindspore.ops.sub
torch.sum,mindspore.ops.ReduceSum
torch.svd,mindspore.ops.svd
torch.swapaxes,mindspore.ops.transpose
torch.swapdims,mindspore.ops.transpose
torch.symeig,mindspore.ops.Eigh
torch.t,mindspore.ops.transpose
torch.take,mindspore.ops.gather
torch.tan,mindspore.ops.tan
torch.tanh,mindspore.ops.tanh
torch.tensor_split,mindspore.numpy.array_split
torch.tensordot,mindspore.ops.einsum
torch.topk,mindspore.ops.TopK
torch.trace,mindspore.ops.trace
torch.transpose,mindspore.ops.transpose
torch.trapz,无对应实现
torch.triangular_solve,无对应实现
torch.tril,mindspore.ops.tril
torch.tril_indices,无对应实现
torch.triu,mindspore.ops.triu
torch.triu_indices,无对应实现
torch.true_divide,mindspore.ops.div
torch.trunc,mindspore.ops.trunc
torch.unbind,mindspore.ops.unbind
torch.unique,mindspore.ops.unique
torch.unique_consecutive,无对应实现
torch.unsqueeze,mindspore.ops.expand_dims
torch.use_deterministic_algorithms,无对应实现
torch.vander,无对应实现
torch.var,mindspore.ops.var
torch.var_mean,无对应实现
torch.vdot,mindspore.ops.dot
torch.view_as_complex,mindspore.ops.complex
torch.view_as_real,mindspore.ops.view_as_real
torch.vstack,mindspore.ops.concat
torch.where,mindspore.ops.select
torch.xlogy,mindspore.ops.xlogy
torch.zeros,mindspore.ops.zeros
torch.zeros_like,mindspore.ops.zeros_like
