pytorch-api,tensorflow-api,confidence,changed
torch.cholesky_inverse,tf.linalg.inv,medium,Y
torch.cholesky_solve,tf.linalg.cholesky_solve,high,N
torch.chunk,tf.split,medium,N
torch.clamp,tf.clip_by_value,high,N
torch.clone,tf.identity,high,N
torch.combinations,无对应实现,high,N
torch.complex,tf.complex,high,N
torch.conj,tf.math.conj,high,N
torch.copysign,tf.math.copysign,high,N
torch.cos,tf.cos,high,N
torch.cosh,tf.cosh,high,N
torch.count_nonzero,tf.math.count_nonzero,high,Y
torch.cross,tf.linalg.cross,high,N
torch.cummax,无对应实现,high,N
torch.cummin,无对应实现,high,N
torch.cumprod,tf.math.cumprod,high,N
torch.cumsum,tf.cumsum,high,N
torch.deg2rad,tf.experimental.numpy.deg2rad,high,N
torch.det,tf.linalg.det,high,N
torch.diag,tf.linalg.diag,high,N
torch.diag_embed,tf.linalg.diag,high,N
torch.diagflat,tf.linalg.diag,high,N
torch.diagonal,tf.linalg.diag_part,high,N
torch.digamma,tf.math.digamma,high,N
torch.dist,tf.norm,high,N
torch.div,tf.divide,high,N
torch.dot,"tf.reduce_sum(tf.multiply(a, b))",medium,Y
torch.dstack,tf.experimental.numpy.dstack,medium,Y
torch.eig,tf.linalg.eig,high,N
torch.einsum,tf.einsum,high,N
torch.empty,tf.zeros_like,low,Y
torch.empty_like,tf.zeros_like,low,N
torch.empty_strided,无对应实现,high,Y
torch.eq,tf.equal,high,N
torch.equal,tf.experimental.numpy.array_equal,high,N
torch.erf,tf.math.erf,high,N
torch.erfc,tf.math.erfc,high,N
torch.erfinv,tf.math.erfinv,high,N
torch.exp,tf.exp,high,N
torch.exp2,tf.math.pow,low,N
torch.expm1,tf.math.expm1,high,N
torch.eye,tf.eye,high,N
torch.flatten,tf.reshape,high,N
torch.flip,tf.reverse,high,N
torch.fliplr,tf.reverse,high,N
torch.flipud,tf.reverse,high,N
torch.float_power,tf.pow,medium,N
torch.floor,tf.floor,high,N
torch.floor_divide,tf.math.floordiv,high,Y
torch.fmax,tf.math.maximum,high,N
torch.fmin,tf.minimum,high,N
torch.fmod,tf.math.fmod,high,Y
torch.frac,tf.math.floormod,medium,Y
torch.full,tf.fill,high,N
torch.full_like,tf.ones_like,medium,Y
torch.gather,tf.gather_nd,high,Y
torch.gcd,tf.math.gcd,high,N
torch.ge,tf.greater_equal,high,N
torch.ger,tf.linalg.outer_product,high,Y
torch.get_rng_state,tf.random.get_global_generator,medium,Y
torch.gt,tf.greater,high,N
torch.heaviside,无对应实现,high,Y
torch.histc,tf.histogram_fixed_width,high,N
torch.hstack,tf.concat,high,N
torch.hypot,tf.math.sqrt,high,Y
torch.i0,tf.math.bessel_i0,high,N
torch.igamma,tf.math.igamma,high,N
torch.imag,tf.math.imag,high,N
torch.index_select,tf.gather,high,N
torch.inner,tf.tensordot,high,N
torch.inverse,tf.linalg.inv,high,N
torch.is_nonzero,"tf.reduce_all(tf.not_equal(input, 0)) and tf.size(input) == 1",low,Y
torch.is_tensor,tf.is_tensor,high,N
torch.isclose,tf.experimental.numpy.isclose,high,N
torch.isfinite,tf.math.is_finite,high,N
torch.isinf,tf.math.is_inf,high,N
torch.isnan,tf.math.is_nan,high,N
torch.isneginf,无对应实现,high,Y
torch.isposinf,无对应实现,high,Y
torch.isreal,tf.math.is_nan,low,Y
torch.kron,tf.linalg.tensor_diag_part,low,Y
torch.kthvalue,tf.nn.top_k,high,Y
torch.lcm,无对应实现,high,N
torch.le,tf.less_equal,high,N
torch.lerp,tf.addcmul,medium,Y
torch.lgamma,tf.math.lgamma,high,N
torch.linspace,tf.linspace,high,N
torch.log,tf.math.log,high,N
torch.log10,tf.math.log,medium,Y
torch.log1p,tf.math.log1p,high,N
torch.log2,tf.math.log1p,low,Y
torch.logaddexp,tf.math.logaddexp,high,N
torch.logaddexp2,tf.math.logaddexp,high,N
torch.logcumsumexp,tf.math.cumulative_logsumexp,high,Y
torch.logdet,tf.linalg.logdet,high,N
torch.logical_and,tf.logical_and,high,N
torch.logical_not,tf.logical_not,high,N
torch.logical_or,tf.logical_or,high,N
torch.logical_xor,tf.math.logical_xor,high,N
torch.logit,tf.math.logit,high,Y
torch.logspace,tf.linspace,low,N
torch.logsumexp,tf.math.reduce_logsumexp,high,N
torch.lstsq,tf.linalg.lstsq,high,N
torch.lt,tf.less,high,N
torch.lu,tf.linalg.lu,high,N
torch.lu_solve,tf.linalg.lu_solve,high,Y
torch.masked_select,tf.boolean_mask,high,N
torch.matmul,tf.matmul,high,N
torch.matrix_exp,tf.linalg.expm,high,N
torch.matrix_power,tf.linalg.matrix_power,high,N
torch.matrix_rank,tf.linalg.matrix_rank,high,N
torch.max,tf.reduce_max,high,N
torch.maximum,tf.maximum,high,N
torch.mean,tf.reduce_mean,high,N
torch.median,tf.reduce_median,high,Y
torch.min,tf.reduce_min,high,N
torch.minimum,tf.minimum,high,N
torch.mm,tf.linalg.matmul,high,N
torch.mode,无对应实现,high,N
torch.movedim,tf.transpose,high,N
torch.msort,tf.sort,high,N
torch.mul,tf.multiply,high,N
torch.multinomial,tf.random.categorical,high,N
torch.mv,tf.linalg.matvec,high,N
torch.mvlgamma,tf.math.lgamma,medium,Y
torch.nanmedian,tf.math.reduce_median,medium,Y
torch.nanquantile,tf.quantile,medium,Y
torch.nansum,tf.math.reduce_sum,low,N
torch.narrow,tf.slice,high,N
torch.ne,tf.not_equal,high,N
torch.neg,tf.negative,high,N
torch.nextafter,tf.experimental.numpy.nextafter,high,N
torch.nn.AdaptiveAvgPool1d,无对应实现,high,Y
torch.nn.AdaptiveAvgPool2d,无对应实现,high,Y
torch.nn.AdaptiveAvgPool3d,无对应实现,high,Y
torch.nn.AdaptiveMaxPool1d,无对应实现,high,Y
torch.nn.AdaptiveMaxPool2d,无对应实现,high,Y
torch.nn.AdaptiveMaxPool3d,无对应实现,high,N
torch.nn.AlphaDropout,tf.keras.layers.AlphaDropout,high,N
torch.nn.AvgPool1d,tf.keras.layers.AveragePooling1D,high,N
torch.nn.AvgPool2d,tf.keras.layers.AveragePooling2D,high,N
torch.nn.AvgPool3d,tf.keras.layers.AveragePooling3D,high,N
torch.nn.BCELoss,tf.keras.losses.BinaryCrossentropy,high,N
torch.nn.BCEWithLogitsLoss,tf.keras.losses.BinaryCrossentropy,high,N
torch.nn.BatchNorm1d,tf.keras.layers.BatchNormalization,high,N
torch.nn.BatchNorm2d,tf.keras.layers.BatchNormalization,high,N
torch.nn.BatchNorm3d,tf.keras.layers.BatchNormalization,high,N
torch.nn.Bilinear,无对应实现,high,Y
torch.nn.CELU,无对应实现,high,Y
torch.nn.CTCLoss,tf.keras.backend.ctc_batch_cost,medium,Y
torch.nn.ConstantPad1d,tf.keras.layers.ZeroPadding1D,low,N
torch.nn.ConstantPad2d,tf.keras.layers.ZeroPadding2D,low,N
torch.nn.ConstantPad3d,tf.keras.layers.ZeroPadding3D,low,N
torch.nn.Conv1d,tf.keras.layers.Conv1D,high,N
torch.nn.Conv2d,tf.keras.layers.Conv2D,high,N
torch.nn.Conv3d,tf.keras.layers.Conv3D,high,N
torch.nn.ConvTranspose2d,tf.keras.layers.Conv2DTranspose,high,N
torch.nn.ConvTranspose3d,tf.keras.layers.Conv3DTranspose,high,N
torch.nn.CosineSimilarity,tf.keras.metrics.cosine_similarity,medium,Y
torch.nn.CrossEntropyLoss,tf.keras.losses.SparseCategoricalCrossentropy,high,N
torch.nn.Dropout,tf.keras.layers.Dropout,high,N
torch.nn.Dropout2d,tf.keras.layers.SpatialDropout2D,high,N
torch.nn.Dropout3d,tf.keras.layers.SpatialDropout3D,high,Y
torch.nn.ELU,tf.keras.layers.ELU,high,N
torch.nn.Embedding,tf.keras.layers.Embedding,high,N
torch.nn.Flatten,tf.keras.layers.Flatten,high,N
torch.nn.Fold,tf.signal.overlap_and_add,high,N
torch.nn.FractionalMaxPool2d,无对应实现,high,N
torch.nn.GELU,tf.keras.layers.Activation('gelu'),high,N
torch.nn.GRU,tf.keras.layers.GRU,high,N
torch.nn.GRUCell,tf.keras.layers.GRUCell,high,N
torch.nn.GroupNorm,tf.keras.layers.GroupNormalization,high,N
torch.nn.Hardshrink,"tf.keras.layers.Lambda(lambda x: tf.where(x > 0.5, x, tf.where(x < -0.5, x, 0.0)))",medium,Y
torch.nn.Hardsigmoid,tf.keras.layers.HardSigmoid,high,N
torch.nn.Hardswish,tf.keras.layers.HardSwish,high,Y
torch.nn.Hardtanh,tf.keras.layers.ReLU,low,N
torch.nn.Identity,tf.keras.layers.Activation('linear'),medium,Y
torch.nn.InstanceNorm1d,tf.keras.layers.BatchNormalization,medium,Y
torch.nn.InstanceNorm2d,tf.keras.layers.BatchNormalization,medium,Y
torch.nn.InstanceNorm3d,tf.keras.layers.BatchNormalization,medium,Y
torch.nn.L1Loss,tf.keras.losses.MeanAbsoluteError,high,N
torch.nn.LPPool1d,无对应实现,high,Y
torch.nn.LPPool2d,无对应实现,high,Y
torch.nn.LSTM,tf.keras.layers.LSTM,high,N
torch.nn.LSTMCell,tf.keras.layers.LSTMCell,high,N
torch.nn.LayerNorm,tf.keras.layers.LayerNormalization,high,N
torch.nn.LeakyReLU,tf.keras.layers.LeakyReLU,high,N
torch.nn.Linear,tf.keras.layers.Dense,high,N
torch.nn.LocalResponseNorm,tf.keras.layers.Lambda,low,N
torch.nn.LogSigmoid,tf.keras.layers.Activation('softplus'),medium,Y
torch.nn.LogSoftmax,tf.keras.layers.Lambda(lambda x: tf.math.log(tf.nn.softmax(x))),medium,Y
torch.nn.MSELoss,tf.keras.losses.MeanSquaredError,high,N
torch.nn.MarginRankingLoss,无对应实现,high,Y
torch.nn.MaxPool1d,tf.keras.layers.MaxPooling1D,high,N
torch.nn.MaxPool2d,tf.keras.layers.MaxPooling2D,high,N
torch.nn.MaxPool3d,tf.keras.layers.MaxPooling3D,high,N
torch.nn.MaxUnpool1d,无对应实现,high,N
torch.nn.MaxUnpool2d,无对应实现,high,Y
torch.nn.MaxUnpool3d,无对应实现,high,Y
torch.nn.MultiLabelMarginLoss,无对应实现,high,N
torch.nn.MultiLabelSoftMarginLoss,tf.keras.losses.BinaryCrossentropy,high,N
torch.nn.MultiheadAttention,tf.keras.layers.MultiHeadAttention,high,N
torch.nn.NLLLoss,tf.keras.losses.CategoricalCrossentropy,low,N
torch.nn.PReLU,tf.keras.layers.PReLU,high,N
torch.nn.PairwiseDistance,无对应实现,high,Y
torch.nn.PixelShuffle,tf.nn.depth_to_space,high,N
torch.nn.PoissonNLLLoss,tf.keras.losses.Poisson,high,N
torch.nn.RNN,tf.keras.layers.SimpleRNN,high,N
torch.nn.RNNBase,tf.keras.layers.RNN,high,N
torch.nn.RNNCell,tf.keras.layers.SimpleRNNCell,high,N
torch.nn.RReLU,无对应实现,high,Y
torch.nn.ReLU,tf.keras.layers.ReLU,high,N
torch.nn.ReLU6,tf.keras.layers.ReLU,low,N
torch.nn.ReflectionPad1d,tf.pad,high,N
torch.nn.ReflectionPad2d,tf.keras.layers.Conv2D,low,Y
torch.nn.ReplicationPad1d,tf.keras.layers.Lambda,low,Y
torch.nn.ReplicationPad2d,tf.keras.layers.Lambda,low,Y
torch.nn.ReplicationPad3d,tf.keras.layers.Conv3D,low,Y
torch.nn.SELU,tf.keras.activations.selu,high,Y
torch.nn.SiLU,tf.keras.layers.Activation(tf.nn.silu),high,Y
torch.nn.Sigmoid,tf.keras.layers.Activation('sigmoid'),high,Y
torch.nn.Softmax,tf.keras.layers.Softmax,high,N
torch.nn.Softmax2d,tf.keras.layers.Softmax,high,Y
torch.nn.Softmin,tf.nn.log_softmax,medium,Y
torch.nn.Softplus,tf.keras.activations.softplus,high,Y
torch.nn.Softshrink,无对应实现,high,N
torch.nn.Softsign,tf.keras.activations.softsign,high,Y
torch.nn.Tanh,tf.keras.layers.Activation('tanh'),high,Y
torch.nn.Tanhshrink,无对应实现,high,N
torch.nn.Threshold,tf.keras.layers.ThresholdedReLU,low,N
torch.nn.TransformerDecoderLayer,tf.keras.layers.TransformerDecoder,high,Y
torch.nn.TransformerEncoderLayer,无对应实现,high,Y
torch.nn.TripletMarginLoss,无对应实现,high,Y
torch.nn.Upsample,tf.keras.layers.UpSampling2D,high,N
torch.nn.UpsamplingBilinear2d,tf.keras.layers.UpSampling2D,high,N
torch.nn.UpsamplingNearest2d,tf.keras.layers.UpSampling2D,high,N
torch.nn.ZeroPad2d,tf.keras.layers.ZeroPadding2D,high,N
torch.nn.functional.adaptive_avg_pool1d,无对应实现,high,Y
torch.nn.functional.adaptive_avg_pool2d,tf.keras.layers.AveragePooling2D,medium,Y
torch.nn.functional.adaptive_avg_pool3d,无对应实现,high,Y
torch.nn.functional.adaptive_max_pool1d,无对应实现,high,Y
torch.nn.functional.adaptive_max_pool2d,无对应实现,high,Y
torch.nn.functional.adaptive_max_pool3d,tf.keras.layers.MaxPool3D,medium,Y
torch.nn.functional.alpha_dropout,tf.keras.layers.AlphaDropout,high,N
torch.nn.functional.avg_pool1d,tf.nn.avg_pool1d,high,N
torch.nn.functional.avg_pool2d,tf.nn.avg_pool2d,high,N
torch.nn.functional.avg_pool3d,tf.nn.avg_pool3d,high,N
torch.nn.functional.batch_norm,tf.nn.batch_normalization,high,N
torch.nn.functional.bilinear,无对应实现,high,N
torch.nn.functional.binary_cross_entropy,tf.keras.losses.binary_crossentropy,high,N
torch.nn.functional.binary_cross_entropy_with_logits,tf.nn.sigmoid_cross_entropy_with_logits,high,Y
torch.nn.functional.celu,tf.nn.celu,high,N
torch.nn.functional.conv1d,tf.nn.conv1d,high,N
torch.nn.functional.conv2d,tf.nn.conv2d,high,N
torch.nn.functional.conv3d,tf.nn.conv3d,high,N
torch.nn.functional.conv_transpose2d,tf.nn.conv2d_transpose,high,N
torch.nn.functional.conv_transpose3d,tf.nn.conv3d_transpose,high,N
torch.nn.functional.cosine_similarity,tf.keras.losses.cosine_similarity,high,N
torch.nn.functional.cross_entropy,tf.keras.losses.categorical_crossentropy,low,N
torch.nn.functional.ctc_loss,tf.nn.ctc_loss,high,N
torch.nn.functional.dropout,tf.nn.dropout,high,N
torch.nn.functional.dropout2d,tf.keras.layers.Dropout,high,Y
torch.nn.functional.dropout3d,tf.keras.layers.Dropout,high,Y
torch.nn.functional.elu,tf.nn.elu,high,N
torch.nn.functional.elu_,tf.nn.elu,medium,N
torch.nn.functional.embedding,tf.nn.embedding_lookup,high,N
torch.nn.functional.embedding_bag,tf.nn.embedding_lookup_sparse,low,N
torch.nn.functional.fold,tf.signal.overlap_and_add,high,N
torch.nn.functional.gelu,tf.nn.gelu,high,N
torch.nn.functional.hardshrink,无对应实现,high,Y
torch.nn.functional.hardsigmoid,tf.keras.activations.hard_sigmoid,high,N
torch.nn.functional.hardswish,tf.keras.activations.hard_swish,high,Y
torch.nn.functional.hardtanh,tf.clip_by_value,high,N
torch.nn.functional.instance_norm,tf.keras.layers.InstanceNormalization,high,Y
torch.nn.functional.interpolate,tf.image.resize,high,N
torch.nn.functional.l1_loss,tf.keras.losses.mean_absolute_error,high,N
torch.nn.functional.layer_norm,tf.keras.layers.LayerNormalization,high,Y
torch.nn.functional.leaky_relu,tf.nn.leaky_relu,high,N
torch.nn.functional.leaky_relu_,无对应实现,high,Y
torch.nn.functional.linear,tf.keras.layers.Dense,high,Y
torch.nn.functional.local_response_norm,tf.nn.local_response_normalization,high,N
torch.nn.functional.log_softmax,tf.nn.log_softmax,high,N
torch.nn.functional.logsigmoid,tf.math.log_sigmoid,high,Y
torch.nn.functional.lp_pool1d,无对应实现,high,N
torch.nn.functional.lp_pool2d,无对应实现,high,N
torch.nn.functional.margin_ranking_loss,无对应实现,high,Y
torch.nn.functional.max_pool1d,tf.nn.max_pool1d,high,N
torch.nn.functional.max_pool2d,tf.nn.max_pool2d,high,N
torch.nn.functional.max_pool3d,tf.nn.max_pool3d,high,N
torch.nn.functional.max_unpool1d,无对应实现,high,Y
torch.nn.functional.max_unpool2d,无对应实现,high,Y
torch.nn.functional.max_unpool3d,无对应实现,high,N
torch.nn.functional.mse_loss,tf.keras.losses.mean_squared_error,high,N
torch.nn.functional.multilabel_margin_loss,无对应实现,high,N
torch.nn.functional.multilabel_soft_margin_loss,tf.keras.losses.BinaryCrossentropy,medium,N
torch.nn.functional.nll_loss,tf.keras.losses.categorical_crossentropy,low,N
torch.nn.functional.normalize,tf.linalg.normalize,high,N
torch.nn.functional.pad,tf.pad,high,N
torch.nn.functional.pairwise_distance,无对应实现,high,Y
torch.nn.functional.pixel_shuffle,tf.nn.depth_to_space,high,N
torch.nn.functional.poisson_nll_loss,tf.keras.losses.Poisson,high,Y
torch.nn.functional.prelu,无对应实现,high,Y
torch.nn.functional.relu,tf.nn.relu,high,N
torch.nn.functional.rrelu,无对应实现,high,Y
torch.nn.functional.rrelu_,无对应实现,high,Y
torch.nn.functional.selu,tf.nn.selu,high,N
torch.nn.functional.sigmoid,tf.nn.sigmoid,high,N
torch.nn.functional.silu,tf.nn.silu,high,N
torch.nn.functional.softmax,tf.nn.softmax,high,N
torch.nn.functional.softmin,无对应实现,high,Y
torch.nn.functional.softplus,tf.nn.softplus,high,N
torch.nn.functional.softshrink,无对应实现,high,Y
torch.nn.functional.softsign,tf.nn.softsign,high,N
torch.nn.functional.tanh,tf.nn.tanh,high,N
torch.nn.functional.tanhshrink,无对应实现,high,N
torch.nn.functional.threshold,tf.where,low,N
torch.nn.functional.triplet_margin_loss,无对应实现,high,Y
torch.nn.utils.clip_grad_norm_,tf.clip_by_global_norm,high,N
torch.nn.utils.rnn.pad_sequence,tf.keras.preprocessing.sequence.pad_sequences,high,N
torch.nonzero,tf.where,high,N
torch.norm,tf.linalg.norm,high,N
torch.normal,tf.random.normal,high,N
torch.numel,tf.size,high,N
torch.ones,tf.ones,high,N
torch.ones_like,tf.ones_like,high,N
torch.outer,tf.linalg.outer,high,Y
torch.pinverse,tf.linalg.pinv,high,N
torch.poisson,tf.random.poisson,high,N
torch.polar,tf.complex,medium,Y
torch.polygamma,tf.math.polygamma,high,Y
torch.pow,tf.pow,high,N
torch.prod,tf.reduce_prod,high,N
torch.promote_types,tf.experimental.numpy.result_type,high,N
torch.qr,tf.linalg.qr,high,N
torch.quantile,tf.quantile,high,Y
torch.rad2deg,tf.experimental.numpy.rad2deg,high,N
torch.rand,tf.random.uniform,high,N
torch.rand_like,tf.random.uniform,high,Y
torch.randint,tf.random.uniform,high,N
torch.randn,tf.random.normal,high,N
torch.randn_like,tf.random.normal,high,N
torch.randperm,tf.random.shuffle,low,N
torch.range,tf.range,high,N
torch.ravel,tf.reshape,medium,N
torch.real,tf.math.real,high,N
torch.reciprocal,tf.math.reciprocal,high,N
torch.remainder,tf.math.floormod,high,N
torch.renorm,无对应实现,high,N
torch.repeat_interleave,tf.repeat,high,N
torch.reshape,tf.reshape,high,N
torch.result_type,tf.experimental.numpy.result_type,high,Y
torch.roll,tf.roll,high,N
torch.rot90,tf.image.rot90,high,N
torch.round,tf.math.round,high,N
torch.rsqrt,tf.math.rsqrt,high,N
torch.save,tf.saved_model.save,high,N
torch.scatter,tf.tensor_scatter_nd_update,high,N
torch.scatter_add,tf.tensor_scatter_nd_add,high,N
torch.searchsorted,tf.searchsorted,high,N
torch.set_default_dtype,tf.keras.mixed_precision.set_global_policy,medium,Y
torch.set_flush_denormal,无对应实现,high,N
torch.set_num_threads,tf.config.threading.set_intra_op_parallelism_threads,high,N
torch.sgn,无对应实现,high,Y
torch.sigmoid,tf.sigmoid,high,N
torch.sign,tf.sign,high,N
torch.signbit,无对应实现,high,Y
torch.sin,tf.sin,high,N
torch.sinh,tf.sinh,high,N
torch.slogdet,tf.linalg.slogdet,high,N
torch.solve,tf.linalg.solve,high,N
torch.sort,tf.sort,high,N
torch.sparse_coo_tensor,tf.SparseTensor,high,N
torch.split,tf.split,high,N
torch.sqrt,tf.sqrt,high,N
torch.square,tf.square,high,N
torch.squeeze,tf.squeeze,high,N
torch.stack,tf.stack,high,N
torch.std,tf.math.reduce_std,high,N
torch.std_mean,tf.nn.moments,high,Y
torch.sub,tf.subtract,high,N
torch.sum,tf.reduce_sum,high,N
torch.svd,tf.linalg.svd,high,N
torch.swapaxes,tf.transpose,high,N
torch.swapdims,tf.transpose,high,N
torch.symeig,tf.linalg.eigh,high,N
torch.t,tf.transpose,high,N
torch.take,tf.gather,high,N
torch.tan,tf.tan,high,N
torch.tanh,tf.tanh,high,N
torch.tensor_split,tf.split,medium,N
torch.tensordot,tf.tensordot,high,N
torch.topk,tf.math.top_k,high,N
torch.trace,tf.linalg.trace,high,N
torch.transpose,tf.transpose,high,N
torch.trapz,tf.signal.trapz,low,Y
torch.triangular_solve,tf.linalg.triangular_solve,high,N
torch.tril,tf.linalg.band_part,high,N
torch.tril_indices,无对应实现,high,N
torch.triu,tf.linalg.band_part,high,N
torch.triu_indices,tf.linalg.band_part,low,Y
torch.true_divide,tf.math.divide,high,N
torch.trunc,tf.math.trunc,high,Y
torch.unbind,tf.unstack,high,N
torch.unique,tf.unique,high,N
torch.unique_consecutive,无对应实现,high,N
torch.unsqueeze,tf.expand_dims,high,N
torch.use_deterministic_algorithms,tf.config.experimental.enable_op_determinism,high,N
torch.vander,无对应实现,high,N
torch.var,tf.math.reduce_variance,high,N
torch.var_mean,tf.nn.moments,high,Y
torch.vdot,tf.tensordot,low,N
torch.view_as_complex,无对应实现,high,Y
torch.view_as_real,无对应实现,high,Y
torch.vstack,tf.concat,high,Y
torch.where,tf.where,high,N
torch.xlogy,tf.math.xlogy,high,Y
torch.zeros,tf.zeros,high,N
torch.zeros_like,tf.zeros_like,high,N
