pytorch-api,paddle-api,confidence,changed
torch.mul,paddle.multiply,high,N
torch.multinomial,paddle.multinomial,high,N
torch.mv,paddle.mv,high,N
torch.mvlgamma,paddle.mvlgamma,high,Y
torch.nanmedian,无对应实现,high,N
torch.nanquantile,无对应实现,high,N
torch.nansum,paddle.nansum,high,N
torch.narrow,paddle.slice,high,N
torch.ne,paddle.not_equal,high,N
torch.neg,paddle.neg,high,N
torch.nextafter,无对应实现,high,N
torch.nn.AdaptiveAvgPool1d,paddle.nn.AdaptiveAvgPool1D,high,N
torch.nn.AdaptiveAvgPool2d,paddle.nn.AdaptiveAvgPool2D,high,N
torch.nn.AdaptiveAvgPool3d,paddle.nn.AdaptiveAvgPool3D,high,N
torch.nn.AdaptiveMaxPool1d,paddle.nn.AdaptiveMaxPool1D,high,N
torch.nn.AdaptiveMaxPool2d,paddle.nn.AdaptiveMaxPool2D,high,N
torch.nn.AdaptiveMaxPool3d,paddle.nn.AdaptiveMaxPool3D,high,N
torch.nn.AlphaDropout,无对应实现,high,N
torch.nn.AvgPool1d,paddle.nn.AvgPool1D,high,N
torch.nn.AvgPool2d,paddle.nn.AvgPool2D,high,N
torch.nn.AvgPool3d,paddle.nn.AvgPool3D,high,N
torch.nn.BCELoss,paddle.nn.BCELoss,high,N
torch.nn.BCEWithLogitsLoss,paddle.nn.BCEWithLogitsLoss,high,N
torch.nn.BatchNorm1d,paddle.nn.BatchNorm1D,high,N
torch.nn.BatchNorm2d,paddle.nn.BatchNorm2D,high,N
torch.nn.BatchNorm3d,paddle.nn.BatchNorm3D,high,N
torch.nn.Bilinear,paddle.nn.Bilinear,high,N
torch.nn.CELU,paddle.nn.CELU,high,N
torch.nn.CTCLoss,paddle.nn.CTCLoss,high,N
torch.nn.ConstantPad1d,paddle.nn.Pad1D,high,N
torch.nn.ConstantPad2d,paddle.nn.Pad2D,high,N
torch.nn.ConstantPad3d,paddle.nn.Pad3D,high,N
torch.nn.Conv1d,paddle.nn.Conv1D,high,N
torch.nn.Conv2d,paddle.nn.Conv2D,high,N
torch.nn.Conv3d,paddle.nn.Conv3D,high,N
torch.nn.ConvTranspose2d,paddle.nn.Conv2DTranspose,high,N
torch.nn.ConvTranspose3d,paddle.nn.Conv3DTranspose,high,N
torch.nn.CosineSimilarity,paddle.nn.CosineSimilarity,high,N
torch.nn.CrossEntropyLoss,paddle.nn.CrossEntropyLoss,high,N
torch.nn.Dropout,paddle.nn.Dropout,high,N
torch.nn.Dropout2d,paddle.nn.Dropout2D,high,N
torch.nn.Dropout3d,paddle.nn.Dropout3D,high,N
torch.nn.ELU,paddle.nn.ELU,high,N
torch.nn.Embedding,paddle.nn.Embedding,high,N
torch.nn.Flatten,paddle.nn.Flatten,high,N
torch.nn.Fold,paddle.nn.Fold,high,N
torch.nn.FractionalMaxPool2d,无对应实现,high,N
torch.nn.GELU,paddle.nn.GELU,high,N
torch.nn.GRU,paddle.nn.GRU,high,N
torch.nn.GRUCell,paddle.nn.GRUCell,high,N
torch.nn.GroupNorm,paddle.nn.GroupNorm,high,N
torch.nn.Hardshrink,paddle.nn.Hardshrink,high,N
torch.nn.Hardsigmoid,paddle.nn.Hardsigmoid,high,N
torch.nn.Hardswish,paddle.nn.Hardswish,high,N
torch.nn.Hardtanh,paddle.nn.Hardtanh,high,N
torch.nn.Identity,paddle.nn.Identity,high,N
torch.nn.InstanceNorm1d,paddle.nn.InstanceNorm1D,high,N
torch.nn.InstanceNorm2d,paddle.nn.InstanceNorm2D,high,N
torch.nn.InstanceNorm3d,paddle.nn.InstanceNorm3D,high,N
torch.nn.L1Loss,paddle.nn.L1Loss,high,N
torch.nn.LPPool1d,paddle.nn.LPPool1D,high,N
torch.nn.LPPool2d,无对应实现,high,N
torch.nn.LSTM,paddle.nn.LSTM,high,N
torch.nn.LSTMCell,paddle.nn.LSTMCell,high,N
torch.nn.LayerNorm,paddle.nn.LayerNorm,high,N
torch.nn.LeakyReLU,paddle.nn.LeakyReLU,high,N
torch.nn.Linear,paddle.nn.Linear,high,N
torch.nn.LocalResponseNorm,paddle.nn.LocalResponseNorm,high,N
torch.nn.LogSigmoid,paddle.nn.LogSigmoid,high,N
torch.nn.LogSoftmax,paddle.nn.LogSoftmax,high,N
torch.nn.MSELoss,paddle.nn.MSELoss,high,N
torch.nn.MarginRankingLoss,paddle.nn.MarginRankingLoss,high,N
torch.nn.MaxPool1d,paddle.nn.MaxPool1D,high,N
torch.nn.MaxPool2d,paddle.nn.MaxPool2D,high,N
torch.nn.MaxPool3d,paddle.nn.MaxPool3D,high,N
torch.nn.MaxUnpool1d,paddle.nn.MaxUnpool1D,high,Y
torch.nn.MaxUnpool2d,paddle.nn.MaxUnpool2D,high,N
torch.nn.MaxUnpool3d,paddle.nn.MaxUnpool3D,high,Y
torch.nn.MultiLabelMarginLoss,无对应实现,high,N
torch.nn.MultiLabelSoftMarginLoss,paddle.nn.BCEWithLogitsLoss,medium,N
torch.nn.MultiheadAttention,paddle.nn.MultiHeadAttention,high,N
torch.nn.NLLLoss,paddle.nn.NLLLoss,high,N
torch.nn.PReLU,paddle.nn.PReLU,high,N
torch.nn.PairwiseDistance,paddle.nn.PairwiseDistance,high,N
torch.nn.PixelShuffle,paddle.nn.PixelShuffle,high,N
torch.nn.PoissonNLLLoss,paddle.nn.PoissonNLLLoss,high,N
torch.nn.RNN,paddle.nn.SimpleRNN,high,Y
torch.nn.RNNBase,无对应实现,high,N
torch.nn.RNNCell,paddle.nn.SimpleRNNCell,high,Y
torch.nn.RReLU,paddle.nn.RReLU,high,N
torch.nn.ReLU,paddle.nn.ReLU,high,N
torch.nn.ReLU6,paddle.nn.ReLU6,high,N
torch.nn.ReflectionPad1d,paddle.nn.ReflectionPad1D,high,Y
torch.nn.ReflectionPad2d,paddle.nn.Pad2D,high,N
torch.nn.ReplicationPad1d,paddle.nn.Pad1D,high,N
torch.nn.ReplicationPad2d,paddle.nn.Pad2D,high,N
torch.nn.ReplicationPad3d,paddle.nn.Pad3D,high,N
torch.nn.SELU,paddle.nn.SELU,high,N
torch.nn.SiLU,paddle.nn.Silu,high,N
torch.nn.Sigmoid,paddle.nn.Sigmoid,high,N
torch.nn.Softmax,paddle.nn.Softmax,high,N
torch.nn.Softmax2d,paddle.nn.Softmax,high,N
torch.nn.Softmin,paddle.nn.Softmin,high,N
torch.nn.Softplus,paddle.nn.Softplus,high,N
torch.nn.Softshrink,paddle.nn.Softshrink,high,N
torch.nn.Softsign,paddle.nn.Softsign,high,N
torch.nn.Tanh,paddle.nn.Tanh,high,N
torch.nn.Tanhshrink,paddle.nn.functional.tanhshrink,high,Y
torch.nn.Threshold,paddle.nn.Threshold,high,N
torch.nn.TransformerDecoderLayer,paddle.nn.TransformerDecoderLayer,high,N
torch.nn.TransformerEncoderLayer,paddle.nn.TransformerEncoderLayer,high,N
torch.nn.TripletMarginLoss,paddle.nn.TripletMarginLoss,high,N
torch.nn.Upsample,paddle.nn.Upsample,high,N
torch.nn.UpsamplingBilinear2d,paddle.nn.Upsample,high,N
torch.nn.UpsamplingNearest2d,paddle.nn.Upsample,high,N
torch.nn.ZeroPad2d,paddle.nn.Pad2D,high,N
torch.nn.functional.adaptive_avg_pool1d,paddle.nn.functional.adaptive_avg_pool1d,high,N
torch.nn.functional.adaptive_avg_pool2d,paddle.nn.functional.adaptive_avg_pool2d,high,N
torch.nn.functional.adaptive_avg_pool3d,paddle.nn.functional.adaptive_avg_pool3d,high,N
torch.nn.functional.adaptive_max_pool1d,paddle.nn.functional.adaptive_max_pool1d,high,N
torch.nn.functional.adaptive_max_pool2d,paddle.nn.functional.adaptive_max_pool2d,high,N
torch.nn.functional.adaptive_max_pool3d,paddle.nn.functional.adaptive_max_pool3d,high,N
torch.nn.functional.alpha_dropout,无对应实现,high,N
torch.nn.functional.avg_pool1d,paddle.nn.functional.avg_pool1d,high,N
torch.nn.functional.avg_pool2d,paddle.nn.functional.avg_pool2d,high,N
torch.nn.functional.avg_pool3d,paddle.nn.functional.avg_pool3d,high,N
torch.nn.functional.batch_norm,paddle.nn.functional.batch_norm,high,N
torch.nn.functional.bilinear,paddle.nn.functional.bilinear,high,N
torch.nn.functional.binary_cross_entropy,paddle.nn.functional.binary_cross_entropy,high,N
torch.nn.functional.binary_cross_entropy_with_logits,paddle.nn.functional.binary_cross_entropy_with_logits,high,N
torch.nn.functional.celu,paddle.nn.functional.celu,high,N
torch.nn.functional.conv1d,paddle.nn.functional.conv1d,high,N
torch.nn.functional.conv2d,paddle.nn.functional.conv2d,high,N
torch.nn.functional.conv3d,paddle.nn.functional.conv3d,high,N
torch.nn.functional.conv_transpose2d,paddle.nn.functional.conv2d_transpose,high,N
torch.nn.functional.conv_transpose3d,paddle.nn.functional.conv3d_transpose,high,N
torch.nn.functional.cosine_similarity,paddle.nn.functional.cosine_similarity,high,N
torch.nn.functional.cross_entropy,paddle.nn.functional.cross_entropy,high,N
torch.nn.functional.ctc_loss,paddle.nn.functional.ctc_loss,high,N
torch.nn.functional.dropout,paddle.nn.functional.dropout,high,N
torch.nn.functional.dropout2d,paddle.nn.functional.dropout2d,high,N
torch.nn.functional.dropout3d,paddle.nn.functional.dropout3d,high,Y
torch.nn.functional.elu,paddle.nn.functional.elu,high,N
torch.nn.functional.elu_,paddle.nn.functional.elu,medium,N
torch.nn.functional.embedding,paddle.nn.functional.embedding,high,N
torch.nn.functional.embedding_bag,paddle.nn.functional.embedding_bag,high,N
torch.nn.functional.fold,paddle.nn.functional.fold,high,N
torch.nn.functional.gelu,paddle.nn.functional.gelu,high,N
torch.nn.functional.hardshrink,paddle.nn.functional.hardshrink,high,N
torch.nn.functional.hardsigmoid,paddle.nn.functional.hardsigmoid,high,N
torch.nn.functional.hardswish,paddle.nn.functional.hardswish,high,N
torch.nn.functional.hardtanh,paddle.nn.functional.hardtanh,high,N
torch.nn.functional.instance_norm,paddle.nn.functional.instance_norm,high,N
torch.nn.functional.interpolate,paddle.nn.functional.interpolate,high,N
torch.nn.functional.l1_loss,paddle.nn.functional.l1_loss,high,N
torch.nn.functional.layer_norm,paddle.nn.functional.layer_norm,high,N
torch.nn.functional.leaky_relu,paddle.nn.functional.leaky_relu,high,N
torch.nn.functional.leaky_relu_,无对应实现,high,Y
torch.nn.functional.linear,paddle.nn.functional.linear,high,N
torch.nn.functional.local_response_norm,paddle.nn.functional.local_response_norm,high,N
torch.nn.functional.log_softmax,paddle.nn.functional.log_softmax,high,N
torch.nn.functional.logsigmoid,paddle.nn.functional.log_sigmoid,high,N
torch.nn.functional.lp_pool1d,无对应实现,high,N
torch.nn.functional.lp_pool2d,无对应实现,high,N
torch.nn.functional.margin_ranking_loss,paddle.nn.functional.margin_ranking_loss,high,N
torch.nn.functional.max_pool1d,paddle.nn.functional.max_pool1d,high,N
torch.nn.functional.max_pool2d,paddle.nn.functional.max_pool2d,high,N
torch.nn.functional.max_pool3d,paddle.nn.functional.max_pool3d,high,N
torch.nn.functional.max_unpool1d,paddle.nn.functional.max_unpool1d,high,Y
torch.nn.functional.max_unpool2d,paddle.nn.functional.max_unpool2d,high,N
torch.nn.functional.max_unpool3d,paddle.nn.functional.max_unpool3d,high,N
torch.nn.functional.mse_loss,paddle.nn.functional.mse_loss,high,N
torch.nn.functional.multilabel_margin_loss,无对应实现,high,N
torch.nn.functional.multilabel_soft_margin_loss,paddle.nn.functional.multilabel_soft_margin_loss,high,N
torch.nn.functional.nll_loss,paddle.nn.functional.nll_loss,high,N
torch.nn.functional.normalize,paddle.nn.functional.normalize,high,N
torch.nn.functional.pad,paddle.nn.functional.pad,high,N
torch.nn.functional.pairwise_distance,paddle.nn.functional.pairwise_distance,high,N
torch.nn.functional.pixel_shuffle,paddle.nn.functional.pixel_shuffle,high,N
torch.nn.functional.poisson_nll_loss,paddle.nn.functional.poisson_nll_loss,high,N
torch.nn.functional.prelu,paddle.nn.functional.prelu,high,N
torch.nn.functional.relu,paddle.nn.functional.relu,high,N
torch.nn.functional.rrelu,paddle.nn.functional.rrelu,high,N
torch.nn.functional.rrelu_,无对应实现,high,N
torch.nn.functional.selu,paddle.nn.functional.selu,high,N
torch.nn.functional.sigmoid,paddle.nn.functional.sigmoid,high,N
torch.nn.functional.silu,paddle.nn.functional.silu,high,N
torch.nn.functional.softmax,paddle.nn.functional.softmax,high,N
torch.nn.functional.softmin,paddle.nn.functional.log_softmax,high,Y
torch.nn.functional.softplus,paddle.nn.functional.softplus,high,N
torch.nn.functional.softshrink,paddle.nn.functional.softshrink,high,N
torch.nn.functional.softsign,paddle.nn.functional.softsign,high,N
torch.nn.functional.tanh,paddle.tanh,high,N
torch.nn.functional.tanhshrink,无对应实现,high,N
torch.nn.functional.threshold,paddle.nn.functional.threshold,high,N
torch.nn.functional.triplet_margin_loss,paddle.nn.functional.triplet_margin_loss,high,Y
torch.nn.utils.clip_grad_norm_,paddle.nn.utils.clip_grad_norm_,high,N
torch.nn.utils.rnn.pad_sequence,paddle.nn.functional.pad_sequence,high,N
torch.nonzero,paddle.nonzero,high,N
torch.norm,paddle.linalg.norm,high,N
torch.normal,paddle.normal,high,N
torch.numel,paddle.numel,high,N
torch.ones,paddle.ones,high,N
torch.ones_like,paddle.ones_like,high,N
torch.outer,paddle.outer,high,N
torch.pinverse,paddle.linalg.pinv,high,N
torch.poisson,paddle.poisson,high,N
torch.polar,paddle.polar,high,N
torch.polygamma,无对应实现,high,N
torch.pow,paddle.pow,high,N
torch.prod,paddle.prod,high,N
torch.promote_types,paddle.promote_type,high,Y
torch.qr,paddle.linalg.qr,high,N
torch.quantile,paddle.quantile,high,N
torch.rad2deg,paddle.rad2deg,high,N
torch.rand,paddle.rand,high,N
torch.rand_like,paddle.rand_like,high,N
torch.randint,paddle.randint,high,N
torch.randn,paddle.randn,high,N
torch.randn_like,paddle.randn_like,high,N
torch.randperm,paddle.randperm,high,N
torch.range,paddle.arange,high,N
torch.ravel,paddle.flatten,high,N
torch.real,paddle.real,high,N
torch.reciprocal,paddle.reciprocal,high,N
torch.remainder,paddle.remainder,high,N
torch.renorm,paddle.renorm,high,N
torch.repeat_interleave,paddle.repeat_interleave,high,N
torch.reshape,paddle.reshape,high,N
torch.result_type,paddle.result_type,high,Y
torch.roll,paddle.roll,high,N
torch.rot90,paddle.rot90,high,N
torch.round,paddle.round,high,N
torch.rsqrt,paddle.rsqrt,high,N
torch.save,paddle.save,high,N
torch.scatter,paddle.scatter_nd,high,Y
torch.scatter_add,paddle.scatter,high,Y
torch.searchsorted,paddle.searchsorted,high,N
torch.set_default_dtype,paddle.set_default_dtype,high,N
torch.set_flush_denormal,无对应实现,high,N
torch.set_num_threads,paddle.set_num_threads,high,Y
torch.sgn,paddle.sign,high,N
torch.sigmoid,paddle.nn.functional.sigmoid,high,N
torch.sign,paddle.sign,high,N
torch.signbit,无对应实现,high,Y
torch.sin,paddle.sin,high,N
torch.sinh,paddle.sinh,high,N
torch.slogdet,paddle.linalg.slogdet,high,N
torch.solve,paddle.linalg.solve,high,N
torch.sort,paddle.sort,high,N
torch.sparse_coo_tensor,paddle.sparse.sparse_coo_tensor,high,Y
torch.split,paddle.split,high,N
torch.sqrt,paddle.sqrt,high,N
torch.square,paddle.square,high,N
torch.squeeze,paddle.squeeze,high,N
torch.stack,paddle.stack,high,N
torch.std,paddle.std,high,N
torch.std_mean,paddle.std_mean,high,N
torch.sub,paddle.subtract,high,N
torch.sum,paddle.sum,high,N
torch.svd,paddle.linalg.svd,high,N
torch.swapaxes,paddle.transpose,high,N
torch.swapdims,paddle.transpose,high,N
torch.symeig,paddle.linalg.eigh,high,Y
torch.t,paddle.t,high,N
torch.take,paddle.take,high,N
torch.tan,paddle.tan,high,N
torch.tanh,paddle.tanh,high,N
torch.tensor_split,paddle.split,medium,N
torch.tensordot,paddle.tensordot,high,Y
torch.topk,paddle.topk,high,N
torch.trace,paddle.trace,high,N
torch.transpose,paddle.transpose,high,N
torch.trapz,paddle.trapezoid,high,Y
torch.triangular_solve,paddle.linalg.solve_triangular,high,N
torch.tril,paddle.tril,high,N
torch.tril_indices,paddle.tril_indices,high,N
torch.triu,paddle.triu,high,N
torch.triu_indices,paddle.triu_indices,high,N
torch.true_divide,paddle.divide,high,N
torch.trunc,paddle.trunc,high,N
torch.unbind,paddle.unbind,high,N
torch.unique,paddle.unique,high,N
torch.unique_consecutive,paddle.unique_consecutive,high,N
torch.unsqueeze,paddle.unsqueeze,high,N
torch.use_deterministic_algorithms,paddle.set_flags,high,Y
torch.vander,无对应实现,high,N
torch.var,paddle.var,high,N
torch.var_mean,paddle.mean_variance,high,N
torch.vdot,paddle.vdot,high,N
torch.view_as_complex,paddle.as_complex,high,Y
torch.view_as_real,paddle.as_real,high,Y
torch.vstack,paddle.concat,high,N
torch.where,paddle.where,high,N
torch.xlogy,paddle.xlogy,high,N
torch.zeros,paddle.zeros,high,N
torch.zeros_like,paddle.zeros_like,high,N
